Seed Size,Accuracy,Precision_W,Recall_W,F1score_W,Precision_mi,Recall_mi,F1score_mi
26,0.674347158,0.671686939,0.674347158,0.668208515,0.674347158,0.674347158, 0.674347158218126	
31,0.686635945,0.689540352,0.686635945,0.68756473,0.686635945,0.686635945, 0.6866359447004609	
36,0.67281106,0.670441641,0.67281106,0.665461262,0.67281106,0.67281106, 0.6728110599078341	
41,0.695852535,0.693968753,0.695852535,0.690993086,0.695852535,0.695852535, 0.695852534562212	
46,0.678955453,0.67730501,0.678955453,0.677767254,0.678955453,0.678955453, 0.6789554531490015	
51,0.668202765,0.667189188,0.668202765,0.667594808,0.668202765,0.668202765, 0.6682027649769585	
56,0.675883257,0.684674842,0.675883257,0.677336871,0.675883257,0.675883257, 0.6758832565284179	
61,0.674347158,0.689705288,0.674347158,0.675479671,0.674347158,0.674347158, 0.674347158218126	
66,0.643625192,0.66744395,0.643625192,0.643551193,0.643625192,0.643625192, 0.6436251920122887	
71,0.634408602,0.68089462,0.634408602,0.628947174,0.634408602,0.634408602, 0.6344086021505376	
76,0.629800307,0.691343765,0.629800307,0.620088001,0.629800307,0.629800307, 0.6298003072196621	
81,0.64516129,0.685113664,0.64516129,0.641707313,0.64516129,0.64516129, 0.6451612903225806	
86,0.651305684,0.684227213,0.651305684,0.649543274,0.651305684,0.651305684, 0.6513056835637481	
91,0.666666667,0.689194367,0.666666667,0.666927805,0.666666667,0.666666667, 0.6666666666666666	
96,0.662058372,0.683213531,0.662058372,0.662504971,0.662058372,0.662058372, 0.6620583717357911	
101,0.657450077,0.675052519,0.657450077,0.658368838,0.657450077,0.657450077, 0.6574500768049155	
106,0.668202765,0.684901634,0.668202765,0.669215145,0.668202765,0.668202765, 0.6682027649769585	
111,0.674347158,0.691143194,0.674347158,0.67534079,0.674347158,0.674347158, 0.674347158218126	
116,0.683563748,0.699762794,0.683563748,0.6845997,0.683563748,0.683563748, 0.6835637480798771	
121,0.683563748,0.691533514,0.683563748,0.684974828,0.683563748,0.683563748, 0.6835637480798771	
126,0.692780338,0.701287859,0.692780338,0.694157005,0.692780338,0.692780338, 0.6927803379416283	
131,0.694316436,0.701473751,0.694316436,0.695658742,0.694316436,0.694316436, 0.6943164362519201	
136,0.695852535,0.701748755,0.695852535,0.697124707,0.695852535,0.695852535, 0.695852534562212	
141,0.69124424,0.697896753,0.69124424,0.692578696,0.69124424,0.69124424, 0.6912442396313364	
146,0.694316436,0.696629394,0.694316436,0.695105077,0.694316436,0.694316436, 0.6943164362519201	
151,0.694316436,0.696275144,0.694316436,0.695019401,0.694316436,0.694316436, 0.6943164362519201	
156,0.694316436,0.696629394,0.694316436,0.695105077,0.694316436,0.694316436, 0.6943164362519201	
161,0.686635945,0.690335145,0.686635945,0.687703953,0.686635945,0.686635945, 0.6866359447004609	
166,0.683563748,0.690489899,0.683563748,0.684943086,0.683563748,0.683563748, 0.6835637480798771	
171,0.685099846,0.689876508,0.685099846,0.68631388,0.685099846,0.685099846, 0.685099846390169	
176,0.688172043,0.692935753,0.688172043,0.689374233,0.688172043,0.688172043, 0.6881720430107527	
181,0.688172043,0.691263224,0.688172043,0.689133169,0.688172043,0.688172043, 0.6881720430107527	
186,0.688172043,0.691263224,0.688172043,0.689133169,0.688172043,0.688172043, 0.6881720430107527	
191,0.700460829,0.702058492,0.700460829,0.701059872,0.700460829,0.700460829, 0.7004608294930875	
196,0.700460829,0.701735237,0.700460829,0.700964224,0.700460829,0.700460829, 0.7004608294930875	
201,0.697388633,0.701247074,0.697388633,0.698449959,0.697388633,0.697388633, 0.6973886328725039	
206,0.694316436,0.697777377,0.694316436,0.695326527,0.694316436,0.694316436, 0.6943164362519201	
211,0.689708141,0.692222813,0.689708141,0.690549892,0.689708141,0.689708141, 0.6897081413210445	
216,0.683563748,0.686104121,0.683563748,0.684422167,0.683563748,0.683563748, 0.6835637480798771	
221,0.689708141,0.692599157,0.689708141,0.690627821,0.689708141,0.689708141, 0.6897081413210445	
226,0.685099846,0.687093352,0.685099846,0.685824006,0.685099846,0.685099846, 0.685099846390169	
231,0.68202765,0.68514598,0.68202765,0.683007714,0.68202765,0.68202765, 0.6820276497695853	
236,0.688172043,0.694833189,0.688172043,0.689519777,0.688172043,0.688172043, 0.6881720430107527	
241,0.688172043,0.694337466,0.688172043,0.689492303,0.688172043,0.688172043, 0.6881720430107527	
246,0.688172043,0.690879729,0.688172043,0.689057873,0.688172043,0.688172043, 0.6881720430107527	
251,0.685099846,0.688602088,0.685099846,0.686140392,0.685099846,0.685099846, 0.685099846390169	
256,0.69124424,0.693569689,0.69124424,0.692040806,0.69124424,0.69124424, 0.6912442396313364	
261,0.689708141,0.691511628,0.689708141,0.690375953,0.689708141,0.689708141, 0.6897081413210445	
266,0.694316436,0.695297168,0.694316436,0.694726552,0.694316436,0.694316436, 0.6943164362519201	
271,0.697388633,0.698361861,0.697388633,0.697794627,0.697388633,0.697388633, 0.6973886328725039	
276,0.698924731,0.699744883,0.698924731,0.699275423,0.698924731,0.698924731, 0.6989247311827957	
281,0.694316436,0.694999364,0.694316436,0.694616933,0.694316436,0.694316436, 0.6943164362519201	
286,0.698924731,0.699457061,0.698924731,0.699164487,0.698924731,0.698924731, 0.6989247311827957	
291,0.697388633,0.698672146,0.697388633,0.697897191,0.697388633,0.697388633, 0.6973886328725039	
296,0.698924731,0.700047144,0.698924731,0.699380425,0.698924731,0.698924731, 0.6989247311827957	
301,0.698924731,0.700047144,0.698924731,0.699380425,0.698924731,0.698924731, 0.6989247311827957	
306,0.694316436,0.694715636,0.694316436,0.694501279,0.694316436,0.694316436, 0.6943164362519201	
311,0.694316436,0.695297168,0.694316436,0.694726552,0.694316436,0.694316436, 0.6943164362519201	
316,0.69124424,0.692873315,0.69124424,0.691861714,0.69124424,0.69124424, 0.6912442396313364	
321,0.694316436,0.696275144,0.694316436,0.695019401,0.694316436,0.694316436, 0.6943164362519201	
326,0.697388633,0.698996766,0.697388633,0.697993819,0.697388633,0.697388633, 0.6973886328725039	
331,0.698924731,0.700363853,0.698924731,0.699479513,0.698924731,0.698924731, 0.6989247311827957	
336,0.698924731,0.700047144,0.698924731,0.699380425,0.698924731,0.698924731, 0.6989247311827957	
341,0.703533026,0.703658812,0.703533026,0.703594255,0.703533026,0.703533026, 0.7035330261136713	
346,0.706605223,0.708181944,0.706605223,0.707191977,0.706605223,0.706605223, 0.706605222734255	
351,0.705069124,0.706817289,0.705069124,0.705703876,0.705069124,0.705069124, 0.7050691244239631	
356,0.701996928,0.703426231,0.701996928,0.702546049,0.701996928,0.701996928, 0.7019969278033794	
361,0.703533026,0.704798328,0.703533026,0.704031258,0.703533026,0.703533026, 0.7035330261136713	
366,0.708141321,0.708941637,0.708141321,0.708481277,0.708141321,0.708141321, 0.7081413210445467	
371,0.706605223,0.707265506,0.706605223,0.706893639,0.706605223,0.706605223, 0.706605222734255	
376,0.708141321,0.708141321,0.708141321,0.708141321,0.708141321,0.708141321, 0.7081413210445467	
381,0.711213518,0.711462676,0.711213518,0.711331368,0.711213518,0.711213518, 0.7112135176651304	
386,0.711213518,0.711462676,0.711213518,0.711331368,0.711213518,0.711213518, 0.7112135176651304	
391,0.708141321,0.708941637,0.708141321,0.708481277,0.708141321,0.708141321, 0.7081413210445467	
396,0.705069124,0.705323176,0.705069124,0.705189482,0.705069124,0.705069124, 0.7050691244239631	
401,0.700460829,0.702058492,0.700460829,0.701059872,0.700460829,0.700460829, 0.7004608294930875	
406,0.700460829,0.702058492,0.700460829,0.701059872,0.700460829,0.700460829, 0.7004608294930875	
411,0.697388633,0.698065899,0.697388633,0.69768611,0.697388633,0.697388633, 0.6973886328725039	
416,0.695852535,0.695852535,0.695852535,0.695852535,0.695852535,0.695852535, 0.695852534562212	
421,0.688172043,0.6885784,0.688172043,0.688360601,0.688172043,0.688172043, 0.6881720430107527	
426,0.689708141,0.690855556,0.689708141,0.690177785,0.689708141,0.689708141, 0.6897081413210445	
431,0.69124424,0.693214547,0.69124424,0.691954269,0.69124424,0.69124424, 0.6912442396313364	
436,0.689708141,0.690855556,0.689708141,0.690177785,0.689708141,0.689708141, 0.6897081413210445	
441,0.689708141,0.690548129,0.689708141,0.690069568,0.689708141,0.689708141, 0.6897081413210445	
446,0.689708141,0.691176716,0.689708141,0.690279907,0.689708141,0.689708141, 0.6897081413210445	
451,0.689708141,0.690254421,0.689708141,0.689955236,0.689708141,0.689708141, 0.6897081413210445	
456,0.689708141,0.690254421,0.689708141,0.689955236,0.689708141,0.689708141, 0.6897081413210445	
461,0.689708141,0.691511628,0.689708141,0.690375953,0.689708141,0.689708141, 0.6897081413210445	
466,0.688172043,0.690153949,0.688172043,0.688889137,0.688172043,0.688172043, 0.6881720430107527	
471,0.697388633,0.698672146,0.697388633,0.697897191,0.697388633,0.697388633, 0.6973886328725039	
476,0.698924731,0.700047144,0.698924731,0.699380425,0.698924731,0.698924731, 0.6989247311827957	
481,0.695852535,0.696389514,0.695852535,0.696094737,0.695852535,0.695852535, 0.695852534562212	
486,0.694316436,0.694999364,0.694316436,0.694616933,0.694316436,0.694316436, 0.6943164362519201	
491,0.698924731,0.700047144,0.698924731,0.699380425,0.698924731,0.698924731, 0.6989247311827957	
496,0.701996928,0.702810467,0.701996928,0.702344041,0.701996928,0.701996928, 0.7019969278033794	
501,0.701996928,0.701755127,0.701996928,0.70186938,0.701996928,0.701996928, 0.7019969278033794	
506,0.698924731,0.698680239,0.698924731,0.698795869,0.698924731,0.698924731, 0.6989247311827957	
511,0.700460829,0.700101581,0.700460829,0.700266277,0.700460829,0.700460829, 0.7004608294930875	
516,0.701996928,0.700767512,0.701996928,0.701141789,0.701996928,0.701996928, 0.7019969278033794	
521,0.709677419,0.708921819,0.709677419,0.709217062,0.709677419,0.709677419, 0.7096774193548389	
526,0.712749616,0.712406884,0.712749616,0.712563045,0.712749616,0.712749616, 0.7127496159754224	
531,0.711213518,0.711462676,0.711213518,0.711331368,0.711213518,0.711213518, 0.7112135176651304	
536,0.714285714,0.714285714,0.714285714,0.714285714,0.714285714,0.714285714, 0.7142857142857143	
541,0.709677419,0.709557968,0.709677419,0.709616013,0.709677419,0.709677419, 0.7096774193548389	
546,0.711213518,0.71076152,0.711213518,0.710960538,0.711213518,0.711213518, 0.7112135176651304	
551,0.711213518,0.71076152,0.711213518,0.710960538,0.711213518,0.711213518, 0.7112135176651304	
556,0.712749616,0.712406884,0.712749616,0.712563045,0.712749616,0.712749616, 0.7127496159754224	
561,0.715821813,0.71548321,0.715821813,0.715637237,0.715821813,0.715821813, 0.7158218125960061	
566,0.711213518,0.710558739,0.711213518,0.710825364,0.711213518,0.711213518, 0.7112135176651304	
571,0.715821813,0.715704991,0.715821813,0.715761706,0.715821813,0.715821813, 0.7158218125960061	
576,0.715821813,0.715704991,0.715821813,0.715761706,0.715821813,0.715821813, 0.7158218125960061	
581,0.712749616,0.71263148,0.712749616,0.71268886,0.712749616,0.712749616, 0.7127496159754224	
586,0.711213518,0.711727248,0.711213518,0.711443487,0.711213518,0.711213518, 0.7112135176651304	
591,0.717357911,0.717862341,0.717357911,0.717582988,0.717357911,0.717357911, 0.7173579109062981	
596,0.717357911,0.716720764,0.717357911,0.716978016,0.717357911,0.717357911, 0.7173579109062981	
601,0.714285714,0.713639752,0.714285714,0.71390169,0.714285714,0.714285714, 0.7142857142857143	
606,0.715821813,0.715277273,0.715821813,0.715507075,0.715821813,0.715821813, 0.7158218125960061	
611,0.715821813,0.715087219,0.715821813,0.715371198,0.715821813,0.715821813, 0.7158218125960061	
616,0.717357911,0.716540387,0.717357911,0.716840022,0.717357911,0.717357911, 0.7173579109062981	
621,0.717357911,0.716540387,0.717357911,0.716840022,0.717357911,0.717357911, 0.7173579109062981	
626,0.712749616,0.71151871,0.712749616,0.711847188,0.712749616,0.712749616, 0.7127496159754224	
631,0.712749616,0.71151871,0.712749616,0.711847188,0.712749616,0.712749616, 0.7127496159754224	
636,0.709677419,0.708574794,0.709677419,0.708921818,0.709677419,0.709677419, 0.7096774193548389	
641,0.708141321,0.707111673,0.708141321,0.707458144,0.708141321,0.708141321, 0.7081413210445467	
646,0.709677419,0.708740568,0.709677419,0.709072384,0.709677419,0.709677419, 0.7096774193548389	
651,0.708141321,0.707111673,0.708141321,0.707458144,0.708141321,0.708141321, 0.7081413210445467	
656,0.706605223,0.70583912,0.706605223,0.706139994,0.706605223,0.706605223, 0.706605222734255	
661,0.706605223,0.706039109,0.706605223,0.706280278,0.706605223,0.706605223, 0.706605222734255													
666,0.711213518,0.709903425,0.711213518,0.710226225,0.711213518,0.711213518,0.711213518
