videoId,title,channelId,channelName,date
qZoK_fF4SOg,Farmer Protest: किस मोड़ पर है किसान आंदोलन और आगे क्या रणनीति है? (BBC Hindi),UCN7B-QD0Qgn2boVH5Q0pOWg,BBC News Hindi,2021-05-27T07:57:35Z
W2VM330HCLs,Farmers Protest: 6 Months Of Farmers&#39; Protest: Farmers Observe &quot;Black Day&quot;,UCZFMm1mMw0F81Z37aaEzTUA,NDTV,2021-05-26T11:29:14Z
a5Sv1sK3ia4,India farmers burn effigies of Modi to mark 6 months of agricultural reform protests,UChLtXXpo4Ge1ReTEboVvTDg,Global News,2021-05-26T18:34:44Z
PCIZ98VCynE,"Rakesh Tikait Speaks On Farmer&#39;s &#39;Black Day&#39; Protest, Reiterates &#39;Repeal Farm Laws&#39; Demand",UCwqusr8YDwM-3mEYTDeJHzw,Republic World,2021-05-26T08:26:19Z
CckwXQHILb0,Farm laws के खिलाफ Farmers protest के six months|Black Day| black flags| Rakesh Tikait,UCx8Z14PpntdaxCt2hakbQLQ,The Lallantop,2021-05-26T18:01:39Z
AW5EQc3Y5F0,"3,000 Riot Cops Called Into Haryana&#39;s Hisar To Block Farmers&#39; Protest",UCZFMm1mMw0F81Z37aaEzTUA,NDTV,2021-05-24T06:47:49Z
uigsiLSxpLk,Taal Thok Ke LIVE: आंदोलनजीवी या &#39;Corona&#39;जीवी? Farmers protests | Black Day | Congress | Hindi News,UCIvaYmXn910QMdemBG3v1pQ,Zee News,2021-05-26T12:35:03Z
YySPbt_CdGI,Des Ki Baat: 6 Months Of Farmers&#39; Protest: Farmers Observe &quot;Black Day&quot;,UCZFMm1mMw0F81Z37aaEzTUA,NDTV,2021-05-26T15:29:31Z
_g9gSrpnq5g,"Kisan Bandh Call | 6 Months Of Farmers Protest At Delhi Borders, Another Covid Super-Spreader Event?",UCYPvAwZP8pZhSMW8qs7cVCw,India Today,2021-05-26T03:01:10Z
i73m2F-Gvj4,Farmer Protest: Singhu Border पर प्रदर्शन कर रहे किसानों का हाल (BBC Hindi),UCN7B-QD0Qgn2boVH5Q0pOWg,BBC News Hindi,2021-05-26T06:51:40Z
5AC00KN-1cE,Farmers Protest: Punjab Farmers Head To Delhi Border,UCZFMm1mMw0F81Z37aaEzTUA,NDTV,2021-05-06T10:51:47Z
V2TGI6Q1yq0,Farmer Protest Turned Villages Into Covid Hotspots | India Today Exclusive Report,UCYPvAwZP8pZhSMW8qs7cVCw,India Today,2021-05-21T05:05:16Z
aZmwz-YBL1k,"Two Farmer Unions Withdraw Protest, Condemn Republic Day Violence In Delhi",UCwqusr8YDwM-3mEYTDeJHzw,Republic World,2021-01-27T13:08:54Z
IaEqq3rDinA,क्या Farmer Protest खत्म हो जाने से Corona महामारी खत्म हो जाएगी- Rakesh Tikait,UCuzS3rPQAYqHcLWqOFuY0pw,News24,2021-05-26T05:09:50Z
wOiQ0XZSRlE,"Watch: Amid Covid, farmers march to Delhi; protest in Hisar over clash FIR",UCm7lHFkt2yB_WzL67aruVBQ,Hindustan Times,2021-05-24T15:10:47Z
TPn028g4Jbw,"After 6 months, farmers protest gets intense | Ground Report from borders",UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,2021-05-26T10:09:44Z
TZMykdF91c4,"Farmers Protest: Amid Covid Curbs, Haryana And Punjab Farmers To Mark &quot;Black Day&quot; In Delhi",UCZFMm1mMw0F81Z37aaEzTUA,NDTV,2021-05-23T14:07:06Z
iKVVBEhTS_4,"Kumar Vishwas ने Saurabh Dwivedi से Corona मदद,  Farmer protest, kejriwal, Modi पर खुलकर बात की",UCx8Z14PpntdaxCt2hakbQLQ,The Lallantop,2021-05-26T15:30:08Z
_NvdezBMwsk,"Farmer Protest: कृषि कानून पर बोले Rakesh Tikait, कहा- सरकार के हिसाब से कानून बड़ा है | 25 May 2021",UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,2021-05-26T12:52:06Z
iHpZV7ro7lU,"India&#39;s huge farmer protests, explained",UCLXo7UDZvByw2ixzpQCufnA,Vox,2020-12-30T13:00:30Z
brK7d9JBFfo,Farmers Protest in the age of COVID | Who is responsible for the risk | Barkha Dutt,UCrdPiSPVW0rtRsI002BX8iw,MOJO STORY,2021-05-26T12:24:09Z
KI-GcjOajek,🔴 LIVE Kisan Morcha Delhi | 27 May 2021  |Farmers Protest |Singhu Kundali Border | Balbir Rajewal,UC5PhyMixgPl-KGCJ0VLdXxw,Sangat Television,2021-05-27T10:18:55Z
F-jGAAtHUPE,Kisan Andolan Live Update: कोरोना काल में ‘Black Day’ वाली साज़िश | Farmer Protest | Zee Hindustan,UCjFKMoAk3qhRkW4eOqNm6dw,Zee Hindustan,2021-05-26T05:36:04Z
0Nw2gjTN3uc,"Corona की Second Wave के बीच तेज हुआ Farmer Protest, Lockdown में Bharat Band का औचित्य क्या है ?",UCOutOIcn_oho8pyVN3Ng-Pg,TV9 Bharatvarsh,2021-05-25T15:30:01Z
LtPorBcfMrc,&#39;Beware Of BJP&#39;: Rakesh Tikait Takes Farmer Protest To Bengal Election | NewsMo,UCYPvAwZP8pZhSMW8qs7cVCw,India Today,2021-04-19T11:09:03Z
KJg7jHF160I,"Corona के बीच फिर से तेज हुआ Farmers Protest, Punjab में महिलाएं बना रही हैं Black flags!",UCx8Z14PpntdaxCt2hakbQLQ,The Lallantop,2021-05-25T10:00:08Z
RCULnH633yQ,"Farmer leader Balbir Singh Rajewal: ‘If we get Covid, it’s Modi’s fault’",UCustbySVJGb659WDpdkeATg,newslaundry,2021-05-20T13:00:09Z
od3Y5XNdyMc,6 months of Farmers protest: 26 may के लिए किसानों की क्या तैयारी है?। Hisar । new farm law।,UCx8Z14PpntdaxCt2hakbQLQ,The Lallantop,2021-05-24T18:30:26Z
LjS6TcZu94E,Farmers&#39; protests in India intensify | DW News,UCknLrEdhRCp1aegoMqRaCZg,DW News,2020-12-01T11:31:20Z
XhsGSItpxO0,ਲੱਖਾ ਸਿਧਾਣਾ ਨੇ ਦਿੱਤਾ ਚਕਮਾ Lakha Sidhana reached farmer protest in Punjab | The Punjab TV,UCI1i5R552GgNLZNGV_luApg,The Punjab TV,2021-05-27T13:21:38Z
3nskU3BoGtc,Farmers protest: Indian farmers clash with police - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2020-11-27T13:26:00Z
7tmVejgaIYE,Protest Until Farm Laws Are Scrapped: Farmer Leader | Covid India | Farmers Protest | CNN News18,UCef1-8eOpJgud7szVPlZQAQ,CNN-News18,2021-05-21T10:32:38Z
yVa2yOZTl2o,🔴 LIVE Kisan Morcha Delhi | 26 May 2021  |Farmers Protest |Singhu Kundali Border | Balbir Rajewal,UC5PhyMixgPl-KGCJ0VLdXxw,Sangat Television,2021-05-26T10:46:10Z
BYA2049gCq4,How the world has reacted to farmer protests in India,UCKjU3KzdbJE1EFcHVqXC3_g,CBC News: The National,2021-03-22T02:56:11Z
EooHHGLXBxY,Coronavirus Crisis In India: Farmers Protest Sparked Covid Spike? Rakesh Tikait Answer | India First,UCYPvAwZP8pZhSMW8qs7cVCw,India Today,2021-05-21T16:51:42Z
hZMjkLgHTCc,"Farmers Protest: Hisar में प्रदर्शन, किसान यूनियन ने कहा- गोली और लाठी की सरकार नहीं चलेगी",UC9CYT9gSNLevX5ey2_6CK0Q,NDTV India,2021-05-24T08:20:41Z
l6JhNVJaC_Q,"Farmers Protest: किसान आंदोलन को 6 महीने पूरे, काले झंडों के साथ मना काला दिवस",UCSKgOW8Pg_eZymYJyJc432g,Dainik Jagran - दैनिक जागरण,2021-05-26T07:45:03Z
4_UDPhJ6GKs,Farmer Protest || ਕਿਸਾਨਾਂ ਨੇ ਕ੍ਰੇਨ &#39;ਤੇ ਟੰਗਿਆ ਮੋਦੀ ਦਾ ਪੁਤਲਾ,UCztSIZEGBfWfC3Mq63QXnsA,Prime Asia TV Canada,2021-05-26T13:52:16Z
hbGzyo51anU,Farmers Protest | Modified Tractor Worth Rs 40 Lakh Grabs Eyeballs At Tikri Border,UCZFMm1mMw0F81Z37aaEzTUA,NDTV,2021-01-24T13:17:16Z
DE4MgKQtuyY,Farmers&#39; Protest Amid Covid: Hundreds Of Farmers Marching Towards National Capital | Farm Laws,UCYPvAwZP8pZhSMW8qs7cVCw,India Today,2021-05-06T12:42:34Z
UjIDN5JX-sY,India farmers protests: &#39;Delhi highways are our home for now&#39; - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2020-12-09T17:07:12Z
rh4DExjppeo,"Farmers Protest को 6 महीने पूरे: किसानों ने फूंका सरकार का पुतला, पुलिस से Tikait की धक्का-मुक्की",UCC0sKVb7btEKzlQ05pJcvTA,Quint Hindi,2021-05-26T10:45:26Z
G6T6cM_DFyU,Delhi Chalo Campaign by Farmers - Why farmers are protesting against Farm Laws? #UPSC #IAS,UCrC8mOqJQpoB7NuIMKIS6rQ,Study IQ education,2020-11-27T09:36:10Z
g_TmFrcmG2g,"Farmers Protest: Rakesh Tikait&#39;s Tears Become Turning Point, Crowd Returns To Ghazipur",UCYPvAwZP8pZhSMW8qs7cVCw,India Today,2021-01-29T02:53:55Z
ozfXDXWPXn8,"100 days &amp; counting, farmers protest is not winding down | Singhu Border Protest",UCJEDFSxHHOW1PpBccdSxOTA,IndianExpressOnline,2021-03-06T08:16:55Z
iAjATdoi5PI,Farmers Continue To Protest At Singhu Border Amid COVID-19 Surge In India,UCwqusr8YDwM-3mEYTDeJHzw,Republic World,2021-04-20T13:18:25Z
Kk0krThJWgI,Balbir Singh Rajewal Today Speech Delhi singhu Border - Farmer Protest,UCWs1iht2UHjN5XODx4CdSzw,Rozana Spokesman,2021-05-26T09:00:46Z
_hKwY9Sxo_s,Clashes Erupt at India Farmer Protest,UCVSNOxehfALut52NbkfRBaA,VOA News,2021-01-29T17:23:51Z
_W5UfJQDv2Q,Farmer Black Day | Farmers&#39; Protest Completes 6 Months | ਕਿਸਾਨ ਅੰਦੋਲਨ ਦੇ 6 ਮਹੀਨੇ ਪੂਰੇ | News18 PHH,UC-crZTQNRzZgzyighTKF0nQ,News18 Punjab/Haryana/Himachal,2021-04-18T05:54:47Z
yOH7BDvOzxY,Bella Ciao - Punjabi | Farm Laws Wapas Jao | #FarmersProtest,UC_3SlX7Dvzmlrwb3ITck5kQ,Poojan Sahil,2020-12-17T12:15:41Z
